Species,Fishbase Link,Ref #,Sex,l_inf,k_vb,t0,w_inf,l_mat,M,phi_prime,Locality,Territory,Temp,a,b,l_max_fishbase,l_max_type,La,Lb,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=8332&cap=n,27256,Unsexed,30.3,0.44,,212.65,22.1,,2.61,Celtic Sea,Ireland,13,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=287&cap=n,2809,Unsexed,29.2,0.48,,176,24.5,,2.61,Downs stock,UK Engld Wal,10.6,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=291&cap=n,2809 & 2814,Unsexed,31.2,0.44,-1.27,199,23.8,0.16,2.63,Dunmore stock,Ireland,11.4,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=288&cap=n,2809 & 2814,Unsexed,29.6,0.35,-1.63,181,23.7,,2.49,Manx stock,UK,10.3,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=297&cap=n,2814,Unsexed,30.6,0.32,-0.32,273,,,2.48,Manx stock,UK,10.3,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=248&cap=n,312 & 791,Unsexed,28.2,0.378,,157,,,2.48,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=250&cap=n,312 & 791,Unsexed,28.4,0.36,,160,,,2.46,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=252&cap=n,312 & 791,Unsexed,29.3,0.264,,176,,0.17,2.36,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=253&cap=n,312 & 791,Unsexed,29.4,0.234,,178,,,2.31,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=254&cap=n,312 & 791,Unsexed,29.5,0.29,,180,,0.184,2.4,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=255&cap=n,312 & 791,Unsexed,29.9,0.375,,188,,,2.53,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=256&cap=n,312 & 791,Unsexed,30.2,0.267,,194,,0.15,2.39,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=257&cap=n,312 & 791,Unsexed,30.3,0.222,,196,,0.13,2.31,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=258&cap=n,312 & 791,Unsexed,30.4,0.313,,198,,,2.46,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=259&cap=n,312 & 791,Unsexed,31,0.239,,210,,0.18,2.36,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=260&cap=n,312 & 791,Unsexed,31,0.296,,210,,,2.45,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=261&cap=n,312 & 791,Unsexed,31.6,0.264,,223,22,0.26,2.42,East Anglia,UK Engld Wal,9,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11449&cap=n,93297,Unsexed,30.1,0.59,0.04,208.34,,,2.73,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11457&cap=n,93297,Unsexed,30.5,0.44,-0.69,217.01,,,2.61,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11458&cap=n,93297,Unsexed,30.9,0.41,-0.55,225.93,,,2.59,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11435&cap=n,93297,Unsexed,31.5,0.4,-0.49,239.76,,,2.6,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11455&cap=n,93297,Unsexed,31.9,0.36,-0.49,249.29,,,2.56,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11445&cap=n,93297,Unsexed,32.1,0.41,-0.48,254.16,,,2.63,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11441&cap=n,93297,Unsexed,32.2,0.47,-0.43,256.61,,,2.69,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11436&cap=n,93297,Unsexed,32.4,0.38,-0.64,261.57,,,2.6,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11440&cap=n,93297,Unsexed,32.4,0.4,-0.65,261.57,,,2.62,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11453&cap=n,93297,Unsexed,32.6,0.26,-1.22,266.59,,,2.44,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11456&cap=n,93297,Unsexed,32.8,0.31,-1.02,271.68,,,2.52,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=10996&cap=n,92450 & 92960,Unsexed,33.1,0.46,-0.86,300,,,2.7,North Sea,UK,10.5,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11452&cap=n,93297,Unsexed,33.6,0.23,-1.8,292.68,,,2.41,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11437&cap=n,93297,Unsexed,33.6,0.33,-0.94,292.68,,,2.57,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11444&cap=n,93297,Unsexed,33.7,0.37,-0.51,295.38,,,2.62,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11442&cap=n,93297,Unsexed,33.7,0.38,-0.42,295.38,,,2.64,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,"Note:there were some records in UK Scotland, but decided it was a bit far when there was available data closer.",
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=11443&cap=n,93297,Unsexed,33.8,0.39,-0.45,298.09,,,2.65,North Sea,UK,,0.0055,3.1,45,SL,0,1.16,,
Clupea harengus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=43&vautoctr=22913&cap=n,94462 & 114862,Mixed,35.9,0.348,-0.45,,,,2.65,"North Sea, Sub-area IV, Divisions VIId & IIIa (autumn-spawners)",English Channel,,0.0055,3.1,45,SL,0,1.16,,
Gadus morhua,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=558&cap=n,312 & 929,Female,122,0.247,,19600,59,,3.57,Calais to Boulogne,France,9,0.00676,3.08,200,TL,,,,
Gadus morhua,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=559&cap=n,312 & 929,Male,123,0.232,,20000,53,,3.55,Calais to Boulogne,France,9,0.00676,3.08,200,TL,,,,
Gadus morhua,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=581&cap=n,312 & 936,Unsexed,126,0.219,0.219,21600,,,3.54,Southern North Sea,France,9,0.00676,3.08,200,TL,,,,
Gadus morhua,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=22938&cap=n,94462 & 114862,Mixed,116,0.208,0.18,,,,3.45,"North Sea, Eastern English Channel & Skagerrak",,,0.00676,3.08,200,TL,,,,
Gadus morhua,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=587&cap=n,796 & 1736,Unsexed,132,0.2,,20000,,0.2,3.54,North Sea,UK Engld Wal,8,0.00676,3.08,200,TL,,,,
Gadus morhua,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=11732&cap=n,94462 & 114862,Mixed,116,0.208,0.18,15800,,,3.45,"North Sea, Sub-area IV, Divisions VIId & IIIa (Skagerrak)",,,0.00676,3.08,200,TL,,,,
Gadus morhua,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=589&cap=n,925,Unsexed,111,0.333,,15000,,,3.61,Southern North Sea 54°N 3°E,Netherlands,9,0.00676,3.08,200,TL,,,,
Gadus morhua,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=8328&cap=n,27256 & 13105,Unsexed,123,0.23,,19200,69.7,,3.54,North Sea,Denmark,12,0.00676,3.08,200,TL,,,,
Gadus morhua,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=25888&cap=n,125631 & 35388,Unsexed,126.53,0.162,,,55,,3.41,North Sea,,,0.00676,3.08,200,TL,,,,
Gadus morhua,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=579&cap=n,312 & 937,Unsexed,126,0.209,,22200,,,3.52,Northern North Sea (200 m depth),Norway,9,0.00676,3.08,200,TL,,,,
Gadus morhua,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=577&cap=n,312 & 925,Unsexed,119,0.269,,18600,,,3.58,Northern North Sea  60°N 3°E (200 m depth),Norway,,0.00676,3.08,200,TL,,,,
Gadus morhua,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=573&cap=n,312 & 937,Unsexed,105,0.134,,12600,,,3.17,North Eastern North Sea (200 m depth),Norway,9,0.00676,3.08,200,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=22969&cap=n,115040,Mixed,82.5,0.178,-0.45,5300,,,3.08,Irish Sea (ICES Div. 7a),,,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=22968&cap=n,115040,Mixed,80,0.186,-0.45,4800,,,3.08,Irish Sea (ICES Div. 7a),,,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=11485&cap=n,93294,Unsexed,70,0.2,,3200,,,2.99,North Sea,,6.8,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=2568&cap=n,954,Unsexed,58.1,0.24,,1700,,,2.91,"North Sea, 'fast growth area'",,9,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=6807&cap=n,42675,Unsexed,74,0.18,-0.61,3800,,,2.99,North Sea,UK,12,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=6806&cap=n,42675,Unsexed,73,0.18,-0.41,3600,,,2.98,North Sea,UK,12,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=2574&cap=n,27372 & 13105,Unsexed,68,0.19,,2900,34,0.43,2.94,North Sea,UK,11,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=6801&cap=n,42675,Unsexed,66.5,0.18,-0.96,2700,,,2.9,North Sea,UK,12,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=6808&cap=n,42675,Unsexed,64,0.23,-0.39,2400,,,2.97,North Sea,UK,12,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=6809&cap=n,42675,Unsexed,63.5,0.26,-0.01,2400,,,3.02,North Sea,UK,12,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=6810&cap=n,42675,Unsexed,63.5,0.25,-0.1,2400,,,3,North Sea,UK,12,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=6805&cap=n,42675,Unsexed,63.5,0.24,-0.17,2400,,,2.99,North Sea,UK,12,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=6804&cap=n,42675,Unsexed,61.4,0.25,-0.25,2100,,,2.97,North Sea,UK,12,0.00661,3.08,112,TL,,,,
Melanogrammus aeglefinus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=6811&cap=n,42675,Unsexed,58,0.29,-0.09,1800,,,2.99,North Sea,UK,12,0.00661,3.08,112,TL,,,#Note: Fish base Notes this study as questionable likely because it is a masters thesis but looking through it it looks like a promising souce.,
Merlangius merlangus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=22592&cap=n,109541,Unsexed,38,0.377,-1.01,430.66,28,,2.74,"Celtic Sea (ICES dive VIIg, Feb 2001-Jan 2002)",Ireland,,0.00617,3.06,91.5,TL,,,,
Merlangius merlangus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=331&cap=n,312 & 975,Female,70,0.238,,3300,29,,3.07,Bay of Biscay,France,11,0.00617,3.06,91.5,TL,,,,
Merlangius merlangus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=334&cap=n,312 & 978,Male,54.7,0.151,,1500,,,,,Isle of Man,9,0.00617,3.06,91.5,TL,,,,
Merlangius merlangus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=396&cap=n,312 & 971,Unsexed,57.4,0.204,-0.68,1800,,,2.83,SE North Sea,Germany,9,0.00617,3.06,91.5,TL,,,,
Merlangius merlangus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=402&cap=n,312 & 971,Unsexed,63.7,0.15,-1.02,2500,,,2.78,SE North Sea,Germany,9,0.00617,3.06,91.5,TL,,,,
Merlangius merlangus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=410&cap=n,312 & 971,Unsexed,94.7,0.074,-1.48,8400,,,2.82,SE North Sea,Germany,9,0.00617,3.06,91.5,TL,,,,
Merlangius merlangus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=384&cap=n,312 & 972,Unsexed,45.9,0.215,-1.09,889,,,2.66,"Central area, North Sea",UK,9,0.00617,3.06,91.5,TL,,,,
Merlangius merlangus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=386&cap=n,312 & 972,Unsexed,47.5,0.207,-1.24,989,,,2.67,"Central area, North Sea",UK,9,0.00617,3.06,91.5,TL,,,,
Merlangius merlangus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=394&cap=n,312 & 972,Unsexed,56.5,0.173,-1.64,1700,,,2.74,"Central area, North Sea",UK,9,0.00617,3.06,91.5,TL,,,,
Merlangius merlangus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=395&cap=n,312 & 972,Unsexed,57.3,0.229,-0.51,1800,,,2.88,"Central area, North Sea",UK,9,0.00617,3.06,91.5,TL,,,#There is more UK Scotland and Denmark data but it seemed a bit further north than one might like.,
Merlangius merlangus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=404&cap=n,312 & 972,Unsexed,66.4,0.105,-2.47,2800,,,2.67,"Central area, North Sea",UK,9,0.00617,3.06,91.5,TL,,,#Note all scotland for blue whiting are marked questionable,
Micromesistius poutassou,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=9456&cap=n,74354 & 53491,Unsexed,36,0.28,-2.48,310.71,23.3,,2.56,West Scotland,UK Scotalnd,8,0.00417,3.12,55.5,TL,,,,
Micromesistius poutassou,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=462&cap=n,961,Unsexed,39.9,0.15,-3.51,635,,,2.38,57°N 11°W,UK Scotland,8,0.00417,3.12,55.5,TL,,,,
Micromesistius poutassou,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=9457&cap=n,74354 & 53491,Unsexed,35,0.24,-1.58,284.32,,,2.47,N.North Sea,,,0.00417,3.12,55.5,TL,,,#questionable,
Micromesistius poutassou,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=9429&cap=n,74354,Unsexed,36,0.561,,277,29,,2.86,"Faroe Bank, , 60°55´N; 8°40´W",Faeroe Is.,,0.00417,3.12,55.5,TL,,,,
Micromesistius poutassou,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=459&cap=n,312 & 965,Unsexed,31.8,0.365,-1.19,322,,,2.57,Mediterranean Coast,Spain,14,0.00417,3.12,55.5,TL,,,,
Micromesistius poutassou,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=183&vautoctr=468&cap=n,7253,Mixed,40.4,0.22,-1.29,335,,,2.56,,Spain,14,0.00417,3.12,55.5,TL,,,,
Merluccius merluccius,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=184&vautoctr=10673&cap=n,89815 & 89985,Female,123.7,0.087,,15400,,,3.12,Northeast coast,Ireland,,0.00468,3.12,140,TL,,,,
Merluccius merluccius,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=184&vautoctr=10671&cap=n,89815 & 89983,Female,124,0.07,,15500,,,3.03,Northeast coast,Ireland,,0.00468,3.12,140,TL,,,,
Merluccius merluccius,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=184&vautoctr=10670&cap=n,89815 & 89983,Male,124,0.069,,15500,,,3.03,Northeast coast,Ireland,,0.00468,3.12,140,TL,,,,
Merluccius merluccius,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=184&vautoctr=10881&cap=n,89815 & 89982,Mixed,128.6,0.087,,17300,,,3.16,SW Ireland,Ireland,,0.00468,3.12,140,TL,,,,
Merluccius merluccius,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=184&vautoctr=10885&cap=n,89815 & 89985,Male,268.2,0.024,,169100,,,3.24,NE Ireland,UK No Ireld,,0.00468,3.12,140,TL,,,,
Merluccius merluccius,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=184&vautoctr=10883&cap=n,89815 & 89983,Male,124,0.069,,15500,,,3.03,NE Ireland,UK No Ireld,,0.00468,3.12,140,TL,,,,
Merluccius merluccius,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=184&vautoctr=10884&cap=n,89812 & 89983,Female,124,0.07,,15500,,,3.03,NE Ireland,UK No Ireld,,0.00468,3.12,140,TL,,,,
Merluccius merluccius,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=184&vautoctr=10886&cap=n,89815 & 89985,Female,123.7,0.087,,15400,,,3.12,NE Ireland,UK No Ireld,,0.00468,3.12,140,TL,,,,
