species,gear,length,Scientific_name,English_name,count,dl
Dab,total,11,Limanda limanda,Common dab,0.634,1
Dab,total,12,Limanda limanda,Common dab,9.862,1
Dab,total,13,Limanda limanda,Common dab,19.43,1
Dab,total,14,Limanda limanda,Common dab,26.179000000000006,1
Dab,total,15,Limanda limanda,Common dab,91.418,1
Dab,total,16,Limanda limanda,Common dab,297.233,1
Dab,total,17,Limanda limanda,Common dab,660.108,1
Dab,total,18,Limanda limanda,Common dab,5598.381,1
Dab,total,19,Limanda limanda,Common dab,3270.3989999999994,1
Dab,total,20,Limanda limanda,Common dab,18863.047000000002,1
Dab,total,21,Limanda limanda,Common dab,162621.24900000004,1
Dab,total,22,Limanda limanda,Common dab,289901.90800000005,1
Dab,total,23,Limanda limanda,Common dab,975506.3019999997,1
Dab,total,24,Limanda limanda,Common dab,1226432.671,1
Dab,total,25,Limanda limanda,Common dab,963511.9040000001,1
Dab,total,26,Limanda limanda,Common dab,767252.683,1
Dab,total,27,Limanda limanda,Common dab,584055.511,1
Dab,total,28,Limanda limanda,Common dab,387061.4429999999,1
Dab,total,29,Limanda limanda,Common dab,179909.39,1
Dab,total,30,Limanda limanda,Common dab,86933.50400000002,1
Dab,total,31,Limanda limanda,Common dab,44694.206,1
Dab,total,32,Limanda limanda,Common dab,60211.55299999999,1
Dab,total,33,Limanda limanda,Common dab,5307.611000000001,1
Dab,total,34,Limanda limanda,Common dab,3367.455999999999,1
Dab,total,35,Limanda limanda,Common dab,746.063,1
Dab,total,36,Limanda limanda,Common dab,1258.2269999999999,1
Dab,total,37,Limanda limanda,Common dab,168.325,1
Herring,total,15,Clupea harengus,Atlantic herring,1594.615,1
Herring,total,16,Clupea harengus,Atlantic herring,19135.383,1
Herring,total,17,Clupea harengus,Atlantic herring,52910.091,1
Herring,total,18,Clupea harengus,Atlantic herring,100992.824,1
Herring,total,19,Clupea harengus,Atlantic herring,354277.531,1
Herring,total,20,Clupea harengus,Atlantic herring,1796787.8249999997,1
Herring,total,21,Clupea harengus,Atlantic herring,5440367.516,1
Herring,total,22,Clupea harengus,Atlantic herring,12390484.002,1
Herring,total,23,Clupea harengus,Atlantic herring,34190358.128,1
Herring,total,24,Clupea harengus,Atlantic herring,87526594.661,1
Herring,total,25,Clupea harengus,Atlantic herring,138879732.035,1
Herring,total,26,Clupea harengus,Atlantic herring,160640867.001,1
Herring,total,27,Clupea harengus,Atlantic herring,159185210.06300002,1
Herring,total,28,Clupea harengus,Atlantic herring,164380053.77300003,1
Herring,total,29,Clupea harengus,Atlantic herring,177699103.614,1
Herring,total,30,Clupea harengus,Atlantic herring,127359507.227,1
Herring,total,31,Clupea harengus,Atlantic herring,67458979.46399999,1
Herring,total,32,Clupea harengus,Atlantic herring,22693377.052,1
Herring,total,33,Clupea harengus,Atlantic herring,5073610.714999999,1
Herring,total,34,Clupea harengus,Atlantic herring,630917.997,1
Herring,total,35,Clupea harengus,Atlantic herring,67775.153,1
Herring,total,36,Clupea harengus,Atlantic herring,2475.285,1
Saithe,total,8,Pollachius virens,Saithe(=Pollock),0.981,1
Saithe,total,24,Pollachius virens,Saithe(=Pollock),29.335,1
Saithe,total,25,Pollachius virens,Saithe(=Pollock),128.197,1
Saithe,total,26,Pollachius virens,Saithe(=Pollock),306.673,1
Saithe,total,27,Pollachius virens,Saithe(=Pollock),1389.334,1
Saithe,total,28,Pollachius virens,Saithe(=Pollock),869.6129999999999,1
Saithe,total,29,Pollachius virens,Saithe(=Pollock),883.754,1
Saithe,total,30,Pollachius virens,Saithe(=Pollock),824.774,1
Saithe,total,31,Pollachius virens,Saithe(=Pollock),432.342,1
Saithe,total,32,Pollachius virens,Saithe(=Pollock),96.721,1
Saithe,total,33,Pollachius virens,Saithe(=Pollock),321.036,1
Saithe,total,34,Pollachius virens,Saithe(=Pollock),1842.3709999999999,1
Saithe,total,35,Pollachius virens,Saithe(=Pollock),936.347,1
Saithe,total,36,Pollachius virens,Saithe(=Pollock),1965.6570000000002,1
Saithe,total,37,Pollachius virens,Saithe(=Pollock),10889.218,1
Saithe,total,38,Pollachius virens,Saithe(=Pollock),16098.791999999998,1
Saithe,total,39,Pollachius virens,Saithe(=Pollock),30204.353000000003,1
Saithe,total,40,Pollachius virens,Saithe(=Pollock),150118.428,1
Saithe,total,41,Pollachius virens,Saithe(=Pollock),244780.295,1
Saithe,total,42,Pollachius virens,Saithe(=Pollock),294918.515,1
Saithe,total,43,Pollachius virens,Saithe(=Pollock),398402.47500000003,1
Saithe,total,44,Pollachius virens,Saithe(=Pollock),568905.8430000001,1
Saithe,total,45,Pollachius virens,Saithe(=Pollock),731070.758,1
Saithe,total,46,Pollachius virens,Saithe(=Pollock),923986.5070000002,1
Saithe,total,47,Pollachius virens,Saithe(=Pollock),999466.3409999999,1
Saithe,total,48,Pollachius virens,Saithe(=Pollock),1130811.207,1
Saithe,total,49,Pollachius virens,Saithe(=Pollock),1322726.6409999996,1
Saithe,total,50,Pollachius virens,Saithe(=Pollock),1299075.3149999995,1
Saithe,total,51,Pollachius virens,Saithe(=Pollock),1290773.3190000004,1
Saithe,total,52,Pollachius virens,Saithe(=Pollock),1229001.2099999995,1
Saithe,total,53,Pollachius virens,Saithe(=Pollock),1193621.1919999998,1
Saithe,total,54,Pollachius virens,Saithe(=Pollock),1045085.351,1
Saithe,total,55,Pollachius virens,Saithe(=Pollock),1007917.6639999999,1
Saithe,total,56,Pollachius virens,Saithe(=Pollock),846698.7009999998,1
Saithe,total,57,Pollachius virens,Saithe(=Pollock),713928.5339999999,1
Saithe,total,58,Pollachius virens,Saithe(=Pollock),666885.916,1
Saithe,total,59,Pollachius virens,Saithe(=Pollock),579222.0219999999,1
Saithe,total,60,Pollachius virens,Saithe(=Pollock),588226.311,1
Saithe,total,61,Pollachius virens,Saithe(=Pollock),510354.542,1
Saithe,total,62,Pollachius virens,Saithe(=Pollock),458119.91399999993,1
Saithe,total,63,Pollachius virens,Saithe(=Pollock),475651.386,1
Saithe,total,64,Pollachius virens,Saithe(=Pollock),425791.39000000013,1
Saithe,total,65,Pollachius virens,Saithe(=Pollock),445117.02700000006,1
Saithe,total,66,Pollachius virens,Saithe(=Pollock),357252.8360000001,1
Saithe,total,67,Pollachius virens,Saithe(=Pollock),308648.04900000006,1
Saithe,total,68,Pollachius virens,Saithe(=Pollock),345536.59700000007,1
Saithe,total,69,Pollachius virens,Saithe(=Pollock),289022.678,1
Saithe,total,70,Pollachius virens,Saithe(=Pollock),325774.16799999995,1
Saithe,total,71,Pollachius virens,Saithe(=Pollock),243198.70799999996,1
Saithe,total,72,Pollachius virens,Saithe(=Pollock),263567.71099999995,1
Saithe,total,73,Pollachius virens,Saithe(=Pollock),237620.17399999994,1
Saithe,total,74,Pollachius virens,Saithe(=Pollock),232126.24800000005,1
Saithe,total,75,Pollachius virens,Saithe(=Pollock),212136.57799999995,1
Saithe,total,76,Pollachius virens,Saithe(=Pollock),208141.56100000002,1
Saithe,total,77,Pollachius virens,Saithe(=Pollock),177503.98499999996,1
Saithe,total,78,Pollachius virens,Saithe(=Pollock),149913.026,1
Saithe,total,79,Pollachius virens,Saithe(=Pollock),175590.63700000002,1
Saithe,total,80,Pollachius virens,Saithe(=Pollock),155623.56200000003,1
Saithe,total,81,Pollachius virens,Saithe(=Pollock),165890.488,1
Saithe,total,82,Pollachius virens,Saithe(=Pollock),141329.972,1
Saithe,total,83,Pollachius virens,Saithe(=Pollock),158589.41700000002,1
Saithe,total,84,Pollachius virens,Saithe(=Pollock),110462.28300000002,1
Saithe,total,85,Pollachius virens,Saithe(=Pollock),122453.34200000002,1
Saithe,total,86,Pollachius virens,Saithe(=Pollock),109729.21099999998,1
Saithe,total,87,Pollachius virens,Saithe(=Pollock),115457.46199999998,1
Saithe,total,88,Pollachius virens,Saithe(=Pollock),89343.54799999998,1
Saithe,total,89,Pollachius virens,Saithe(=Pollock),75964.86700000001,1
Saithe,total,90,Pollachius virens,Saithe(=Pollock),88433.71099999998,1
Saithe,total,91,Pollachius virens,Saithe(=Pollock),58773.61900000002,1
Saithe,total,92,Pollachius virens,Saithe(=Pollock),76589.32599999997,1
Saithe,total,93,Pollachius virens,Saithe(=Pollock),70248.837,1
Saithe,total,94,Pollachius virens,Saithe(=Pollock),53063.573,1
Saithe,total,95,Pollachius virens,Saithe(=Pollock),36941.494000000006,1
Saithe,total,96,Pollachius virens,Saithe(=Pollock),38249.203,1
Saithe,total,97,Pollachius virens,Saithe(=Pollock),38412.346999999994,1
Saithe,total,98,Pollachius virens,Saithe(=Pollock),31822.862,1
Saithe,total,99,Pollachius virens,Saithe(=Pollock),25610.442000000003,1
Saithe,total,100,Pollachius virens,Saithe(=Pollock),24693.730999999996,1
Saithe,total,101,Pollachius virens,Saithe(=Pollock),39745.88100000001,1
Saithe,total,102,Pollachius virens,Saithe(=Pollock),22545.420000000002,1
Saithe,total,103,Pollachius virens,Saithe(=Pollock),11776.304,1
Saithe,total,104,Pollachius virens,Saithe(=Pollock),12433.043999999998,1
Saithe,total,105,Pollachius virens,Saithe(=Pollock),21903.56,1
Saithe,total,106,Pollachius virens,Saithe(=Pollock),12683.912000000002,1
Saithe,total,107,Pollachius virens,Saithe(=Pollock),3697.7830000000004,1
Saithe,total,108,Pollachius virens,Saithe(=Pollock),8990.189999999999,1
Saithe,total,109,Pollachius virens,Saithe(=Pollock),6465.203999999999,1
Saithe,total,110,Pollachius virens,Saithe(=Pollock),2061.7079999999996,1
Saithe,total,111,Pollachius virens,Saithe(=Pollock),1621.522,1
Saithe,total,112,Pollachius virens,Saithe(=Pollock),2219.3230000000003,1
Saithe,total,113,Pollachius virens,Saithe(=Pollock),2295.591,1
Saithe,total,114,Pollachius virens,Saithe(=Pollock),0.387,1
Saithe,total,115,Pollachius virens,Saithe(=Pollock),839.5029999999999,1
Saithe,total,116,Pollachius virens,Saithe(=Pollock),281.452,1
Saithe,total,117,Pollachius virens,Saithe(=Pollock),2.772,1
Saithe,total,118,Pollachius virens,Saithe(=Pollock),650.822,1
Saithe,total,119,Pollachius virens,Saithe(=Pollock),0.86,1
Saithe,total,120,Pollachius virens,Saithe(=Pollock),720.907,1
